year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
2024,Honduras,swimming,M,38,no,2024-10-14 00:00:00,,10,Autumn
2024,USA,surfing,M,16,no,2024-10-11 00:00:00,,10,Autumn
2024,Honduras,diving,M,33,no,2024-09-17 00:00:00,,9,Autumn
2024,Morocco,swimming,F,30,yes,2024-09-16 00:00:00,,9,Autumn
2024,Jamaica,fishing,M,16,yes,2024-08-26 00:00:00,,8,Summer
2024,Belize,diving,F,15,no,2024-08-06 00:00:00,,8,Summer
2024,Australia,surfing,M,23,no,2024-07-23 00:00:00,,7,Summer
2024,Australia,surfing,M,41,no,2024-07-18 00:00:00,,7,Summer
2024,USA,diving,M,14,no,2024-07-08 00:00:00,,7,Summer
2024,USA,wading,M,26,no,2024-07-05 00:00:00,,7,Summer
2024,USA,swimming,F,Middle age,no,2024-07-04 00:00:00,,7,Summer
2024,USA,playing football in the water,M,21,no,2024-07-04 00:00:00,,7,Summer
2024,USA,swimming,M,,no,2024-07-04 00:00:00,,7,Summer
2024,USA,swimming,F,45,no,2024-06-07 00:00:00,,6,Summer
2024,USA,swimming,M,46,no,2024-06-02 00:00:00,,6,Summer
2024,Maldive Islands,military ocean training,M,23,yes,2024-06-02 00:00:00,,6,Summer
2024,USA,wading,F,19,no,2024-05-28 00:00:00,,5,Spring
2024,Turks and Caicos,snorkelling,M,27,no,2024-05-24 00:00:00,,5,Spring
2024,French Polynesia,diving,M,20,no,2024-05-23 00:00:00,,5,Spring
2024,USA,fishing,M,65,no,2024-05-02 00:00:00,,5,Spring
2024,Tobago,swimming,M,64,no,2024-04-26 00:00:00,,4,Spring
2024,Bahamas,jumpinf from dock to boat acidentally fell into water at marina,M,24,no,2024-04-26 00:00:00,,4,Spring
2024,Australia,fishing,M,16,no,2024-04-20 00:00:00,,4,Spring
2024,Australia,surfing,M,26,no,2024-04-20 00:00:00,,4,Spring
2024,Maldive Islands,swimming,M,?,no,2024-04-08 00:00:00,,4,Spring
2024,Maldive Islands,swimming,M,?,no,2024-04-08 00:00:00,,4,Spring
2024,AUSTRALIA,swimming,F,13,unknown,2024-03-15 00:00:00,15 Mar 2024,3,Spring
2024,USA,surfing,M,,no,2024-03-04 00:00:00,04 Mar 2024,3,Spring
2024,USA,swimming,F,11,no,2024-03-02 00:00:00,02 Mar-2024,3,Spring
2024,AUSTRALIA,,F,46,no,2024-02-25 00:00:00,25 Feb-2024,2,Winter
2024,INDIA,fishing,M,32,no,2024-02-14 00:00:00,14 Feb-2024,2,Winter
2024,TRINIDAD,fishing,M,,no,2024-02-04 00:00:00,04-Feb-2024,2,Winter
2024,AUSTRALIA,swimming,F,29,no,2024-01-29 00:00:00,29 Jan-2024,1,Winter
2024,BAHAMAS,swimming,M,10,no,2024-01-15 00:00:00,15 Jan-2024,1,Winter
2024,AUSTRALIA,surfing,M,64,no,2024-01-09 00:00:00,09-Jan-2024,1,Winter
2024,SOUTH AFRICA,fishing,M,62,no,2024-01-05 00:00:00,05-Jan-2024,1,Winter
2023,USA,surfing,M,39,yes,2023-12-30 00:00:00,30 Dec-2023,12,Winter
2023,MEXICO,diving,M,22,yes,2023-12-29 00:00:00,29 Dec-2023,12,Winter
2023,AUSTRALIA,surfing,M,15,yes,2023-12-28 00:00:00,28 Dec-2023,12,Winter
2023,AUSTRALIA,surfing,M,16,no,2023-12-25 00:00:00,25 Dec-2023,12,Winter
2023,AUSTRALIA,foil boarding,M,46,no,2023-12-24 00:00:00,24-Dec-2023,12,Winter
2023,NEW ZEALAND,wading,F,21,no,2023-12-18 00:00:00,18 Dec-2023,12,Winter
2023,MEXICO,swimming,M,66,yes,2023-12-14 00:00:00,14  Dec-2023,12,Winter
2023,MEXICO,swimming,F,52,no,2023-12-14 00:00:00,14  Dec-2023,12,Winter
2023,AUSTRALIA,snorkeling,M,20,no,2023-12-08 00:00:00,08 Dec-2023,12,Winter
2023,BAHAMAS,paddle boarding,F,44,yes,2023-12-04 00:00:00,04 Dec-2023,12,Winter
2023,MEXICO,swimming,F,26,yes,2023-12-02 00:00:00,02 Dec-2023,12,Winter
2023,AUSTRALIA,swimming,M,21,no,2023-11-30 00:00:00,30 Nov-2023,11,Autumn
2023,BAHAMAS,diving,F,47,yes,2023-11-21 00:00:00,21 Nov-2023,11,Autumn
2023,AUSTRALIA,diving,F,32,no,2023-11-10 00:00:00,10 Nov-2023,11,Autumn
2023,USA,swimming,M,66,no,2023-11-05 00:00:00,05 Nov-2023,11,Autumn
2023,AUSTRALIA,fishing,M,,no,2023-11-03 00:00:00,03 Nov-2023,11,Autumn
2023,NEW ZEALAND,diving,M,,no,2023-11-02 00:00:00,02 Nov-2023,11,Autumn
2023,EGYPT,diving,M,66,no,2023-11-01 00:00:00,Reported 02 Nov-2023,11,Autumn
2023,AUSTRALIA,surfing,M,55,yes,2023-10-31 00:00:00,31 Oct-2023,10,Autumn
2023,USA,surfing,M,30,no,2023-10-25 00:00:00,25 Oct 2023,10,Autumn
2023,Mexico,fishing,M,59,no,2023-10-23 00:00:00,23 Oct-2023,10,Autumn
2023,AUSTRALIA,fishing,M,,no,2023-10-21 00:00:00,21 Oct-2023,10,Autumn
2023,BELIZE,snorkeling,F,8,no,2023-10-20 00:00:00,20 Oct 2023,10,Autumn
2023,USA,surfing,M,50,no,2023-10-15 00:00:00,15 Oct 2023,10,Autumn
2023,USA,surfing,M,52,no,2023-10-13 00:00:00,13 Oct-2023,10,Autumn
2023,USA,surfing,F,45,no,2023-10-02 00:00:00,02 Oct-2023,10,Autumn
2023,AUSTRALIA,swimming,F,64,no,2023-10-01 00:00:00,01 Oct-2023,10,Autumn
